,predictor,rank_value
294,province New Mexico,0.0
295,province New South Wales,0.0002200498675151173
296,province New York,0.003862946959967729
297,province New Zealand,3.247827544666462e-05
298,province Niederösterreich,0.0007897425736301262
299,province North Carolina,0.0
300,province North Dalmatia,0.0
301,province Northeastern Italy,0.000964731200074293
302,province Northern Cape,0.0
303,province Northern Spain,8.636154283504293e-05
304,province Northwestern Italy,0.0
305,province Obidos,4.6120013462246324e-05
306,province Ohio,0.0
307,province Olifants River,0.0
308,province Ontario,0.00031198576654556815
309,province Oregon,0.004133065491154373
310,province Other,0.00019974385375182293
311,province Overberg,0.0
312,province Paardeberg,0.0
313,province Paarl,0.0002534973564715934
314,province Pafos,0.0
315,province Pageon,0.0
316,province Palmela,4.381989544391252e-05
317,province Panciu,0.0
318,province Pangeon,0.0
319,province Patras,8.51645205470976e-05
320,province Peljesac,0.0
321,province Peloponnese,4.681500217393319e-05
322,province Pennsylvania,4.3035005175180214e-05
323,province Península de Setúbal,0.0006010516212130594
324,province Peumo,5.445266419133246e-05
325,province Pfalz,0.0005039535038149709
326,province Philadelphia,0.0
327,province Piedmont,0.0007701654165014981
328,province Pinto Bandeira,0.0
329,province Pirque,0.0
330,province Pitsilia Mountains,0.0
331,province Pocerina,0.0
332,province Podunavlje,0.0
333,province Polkadraai Hills,0.0
334,province Port,0.000530281013475749
335,province Portugal,0.0
336,province Portuguese Table Wine,0.0004016061667216537
337,province Primorska,1.9802954948853762e-05
338,province Progreso,0.0
339,province Provence,0.0020069829350940955
340,province Puente Alto,6.317083926063479e-05
341,province Rapel Valley,4.840236817007333e-05
342,province Rapsani,0.0
343,province Recas,6.499677625082792e-05
344,province Requinoa,0.0
345,province Retsina,0.0
346,province Rheingau,0.0007634277070179207
347,province Rheinhessen,0.0008435781933391577
348,province Rhode Island,0.0
349,province Rhône Valley,0.0009800331474835637
350,province Ribatejano,0.00011079761149749122
351,province Ribatejo,0.00020038181304484485
352,province Rio Claro,0.0
353,province Robertson,4.073057978133545e-05
354,province Romania,0.0
355,province Sagrada Familia,0.0
356,province Samos,0.0
357,province Samson,0.0001228300547064957
358,province San Antonio,2.0449284540492537e-05
359,province San Antonio de las Minas Valley,0.0
360,province San Clemente,0.0
361,province San Jose,4.451986415353171e-05
362,province San Vicente,0.0
363,province Santa Catarina,0.0
364,province Santa Cruz,0.0
365,province Santorini,0.0
366,province Sebes,0.0
367,province Serra Gaúcha,0.0
368,province Serra do Sudeste,0.0
369,province Setubal,9.922577063424714e-05
370,province Shomron,0.0
371,province Sicily & Sardinia,0.0008259063323669508
372,province Simonsberg-Paarl,0.0
373,province Simonsberg-Stellenbosch,0.0
374,province Sithonia,0.0
375,province Slovenia,0.0
376,province Slovenska Istra,0.0
377,province Sopron,0.0
378,province South Africa,5.919244512763298e-05
379,province South Australia,0.0007932355570359733
380,province South Island,0.0
381,province Southern Italy,0.0008130532354173942
382,province Southwest France,0.005229827135753165
383,province Spain Other,9.830176832951876e-05
384,province Spanish Islands,0.00028275332715788743
385,province Steiermark,9.06098060234677e-05
386,province Stellenbosch,0.0003807914634073323
387,province Sterea Ellada,0.0
388,province Swartland,0.0
389,province Switzerland,0.0
390,province Szekszárd,0.0
391,province Südburgenland,0.0
392,province Südoststeiermark,0.00016460346984128137
393,province Südsteiermark,0.00014264274036360574
394,province Table wine,0.0
395,province Tarnave,0.0
396,province Tasmania,8.205114318912794e-05
397,province Tejo,0.0005334614515500297
398,province Terras do Dão,0.0
399,province Terras do Sado,0.00017058332065438616
400,province Texas,0.00045373575909968505
401,province Thermenregion,0.00044374830466110455
402,province Thessalikos,0.0
403,province Thrace,7.668481702684692e-05
404,province Thracian Valley,0.00014685716292565798
405,province Thraki,0.0
406,province Ticino,0.0
407,province Tikves,0.0
408,province Tokaj,2.9213263629275007e-06
409,province Tokaji,0.00024407961834745673
410,province Traisental,0.0001684399203702488
411,province Trás-os-Montes,0.00016055749069760313
412,province Tulbagh,0.00012218441175376247
413,province Turkey,0.0
414,province Tuscany,0.0006738129002796054
415,province Távora-Varosa,0.0
416,province Ukraine,0.0
417,province Upper Galilee,0.0
418,province Urla-Thrace,0.0
419,province Uruguay,0.0
420,province Valais,0.0
421,province Vale Trentino,0.0
422,province Vale dos Vinhedos,0.0
423,province Valle de Guadalupe,7.156680020992541e-05
424,province Veneto,0.0011242501124995132
425,province Vermont,0.0
426,province Victoria,0.0008681774960866156
427,province Vienna,0.00019258850312087202
428,province Viile Timis,0.0
429,province Viile Timisului,0.0
430,province Villány,0.0003622381255839838
431,province Vin de Pays de Velvendo,0.0
432,province Vinho Espumante,0.0
433,province Vinho Espumante de Qualidade,7.48045383122402e-05
434,province Vinho Licoroso,0.0
435,province Vinho Verde,0.00048336493279797007
436,province Vinho da Mesa,0.0
437,province Vipavska Dolina,0.0
438,province Virginia,0.006808057657560611
439,province Vlootenburg,0.0
440,province Vânju Mare,0.0
441,province Wachau,0.00024725416171201105
442,province Wagram,0.0003883123034439799
443,province Wagram-Donauland,0.00030623361205746823
444,province Waiheke Island,3.524935680217757e-05
445,province Waipara,8.167696737896432e-05
446,province Waipara Valley,0.00011481349698365443
447,province Wairarapa,0.0
448,province Wairau Valley,9.258759671127454e-05
449,province Waitaki Valley,0.0
450,province Walker Bay,2.663377703860643e-05
451,province Washington,0.00379811280164412
452,province Washington-Oregon,0.0
453,province Weinland Österreich,0.00013380096176488157
454,province Weinviertel,0.0003729265941493956
455,province Wellington,0.0
456,province Western Australia,0.000520626023939571
457,province Western Cape,0.0
458,province Wiener Gemischter Satz,0.00011447310557792673
459,province Württemberg,0.0003270010665121878
460,province Zenata,2.7383220062642654e-05
461,province Österreichischer Perlwein,0.0
462,province Österreichischer Sekt,0.0006716533507541838
463,province Štajerska,0.0
464,province Župa,1.4791007251288145e-05
465,variety Abouriou,4.586071041180955e-05
466,variety Agiorgitiko,0.0
467,variety Aglianico,0.0005783124935359617
468,variety Aidani,0.0
469,variety Airen,0.0
470,variety Albana,0.00016394955159435167
471,variety Albanello,0.0
472,variety Albariño,0.000715166166973274
473,variety Albarossa,0.0
474,variety Aleatico,3.305203132932073e-05
475,variety Alfrocheiro,6.419207400974424e-05
476,variety Alicante,0.0
477,variety Alicante Bouschet,0.0005962083805405834
478,variety Aligoté,1.1497535056697602e-06
479,variety Alsace white blend,0.000164610081906303
480,variety Altesse,0.0
481,variety Alvarelhão,0.0
482,variety Alvarinho,0.0003260928675162231
483,variety Alvarinho-Chardonnay,0.0
484,variety Ansonica,0.0
485,variety Antão Vaz,2.190994772195626e-05
486,variety Apple,0.0
487,variety Aragonez,0.0
488,variety Aragonês,3.9239277326279056e-05
489,variety Argaman,0.0
490,variety Arinto,2.982187328821824e-05
491,variety Arneis,0.0
492,variety Asprinio,0.0
493,variety Assyrtico,0.0
494,variety Assyrtiko,8.477474250210346e-05
495,variety Athiri,0.0
496,variety Austrian Red Blend,0.0001356272401358609
497,variety Austrian white blend,0.00016151668187824698
498,variety Auxerrois,0.00032063893300157264
499,variety Avesso,5.27299408508414e-05
500,variety Azal,0.0
501,variety Babić,0.0
502,variety Babosa Negro,0.0
503,variety Baco Noir,2.4269480553551614e-05
504,variety Baga,0.0003185877196668176
505,variety Baga-Touriga Nacional,0.0
506,variety Barbera,0.0003380545544519989
507,variety Barbera-Nebbiolo,0.0
508,variety Bastardo,0.0
509,variety Biancale,0.0
510,variety Biancolella,0.0
511,variety Bical,0.0
512,variety Black Monukka,0.0
513,variety Black Muscat,0.0
514,variety Blanc du Bois,0.0
515,variety Blatina,0.0
516,variety Blauburger,0.0
517,variety Blauburgunder,0.0
518,variety Blauer Portugieser,0.0
519,variety Blaufränkisch,0.00046374919861021953
520,variety Bobal,0.0
521,variety Bobal-Cabernet Sauvignon,0.0
522,variety Bombino Bianco,0.0
523,variety Bombino Nero,0.0
524,variety Bonarda,0.0
525,variety Bordeaux-style Red Blend,0.0026304953582772152
526,variety Bordeaux-style White Blend,0.0004904921021304958
527,variety Bovale,0.0
528,variety Boğazkere,0.0
529,variety Brachetto,0.0
530,variety Braucol,0.0
531,variety Bual,0.0
532,variety Cabernet,0.0
533,variety Cabernet Blend,0.00018271934706980494
534,variety Cabernet Franc,0.0012575374276935479
535,variety Cabernet Franc-Cabernet Sauvignon,0.0
536,variety Cabernet Franc-Carmenère,0.0
537,variety Cabernet Franc-Lemberger,0.0
538,variety Cabernet Franc-Malbec,0.0
539,variety Cabernet Franc-Merlot,0.0001685774877159428
540,variety Cabernet Merlot,5.4838602184495376e-05
541,variety Cabernet Moravia,0.0
542,variety Cabernet Pfeffer,0.0
543,variety Cabernet Sauvignon,0.0035230305209700647
544,variety Cabernet Sauvignon Grenache,0.0
545,variety Cabernet Sauvignon-Barbera,0.0
546,variety Cabernet Sauvignon-Cabernet Franc,6.896963805077272e-05
547,variety Cabernet Sauvignon-Carmenère,4.56977226438432e-05
548,variety Cabernet Sauvignon-Malbec,0.0
549,variety Cabernet Sauvignon-Merlot,0.0001980218793852124
550,variety Cabernet Sauvignon-Merlot-Shiraz,8.36453010031826e-05
551,variety Cabernet Sauvignon-Sangiovese,0.0
552,variety Cabernet Sauvignon-Shiraz,8.843440199494577e-05
553,variety Cabernet Sauvignon-Syrah,9.583739502518374e-05
554,variety Cabernet Sauvignon-Tempranillo,0.0
555,variety Cabernet-Malbec,0.0
556,variety Cabernet-Shiraz,0.0
557,variety Cabernet-Syrah,0.00014538086132723414
558,variety Canaiolo,3.251019475015088e-05
559,variety Cannonau,4.307465912683919e-05
560,variety Caprettone,7.024002145890578e-05
561,variety Carcajolu,0.0
562,variety Carignan,5.247055808605481e-05
563,variety Carignan-Grenache,0.0
564,variety Carignan-Syrah,0.0
565,variety Carignane,0.0
566,variety Carignano,0.00013872939644897538
567,variety Carineña,0.0
568,variety Cariñena-Garnacha,0.0
569,variety Carmenère,0.0004004641560620664
570,variety Carmenère-Cabernet Sauvignon,0.0
571,variety Carmenère-Syrah,0.0
572,variety Carricante,0.00023913778713313105
573,variety Casavecchia,0.0
574,variety Castelão,0.00024708356793364975
575,variety Catalanesca,0.0
576,variety Catarratto,4.529395920502277e-05
577,variety Cayuga,0.0
578,variety Centesimino,0.0
579,variety Cerceal,0.00014230296242001564
580,variety Cercial,0.0
581,variety Cesanese,0.00013631296959559314
582,variety Cesanese d'Affile,0.0
583,variety Chambourcin,0.0
584,variety Champagne Blend,0.0024957483863586316
585,variety Chancellor,0.0
586,variety Charbono,0.0
587,variety Chardonel,0.0
588,variety Chardonnay,0.005038151380807894
589,variety Chardonnay Weissburgunder,0.0
590,variety Chardonnay-Albariño,0.0
591,variety Chardonnay-Pinot Blanc,0.0
592,variety Chardonnay-Pinot Gris,0.0
593,variety Chardonnay-Riesling,0.0
594,variety Chardonnay-Sauvignon,0.0
595,variety Chardonnay-Sauvignon Blanc,0.0
596,variety Chardonnay-Semillon,4.128521521725466e-05
597,variety Chardonnay-Viognier,0.00012367672149346615
598,variety Chasselas,0.0
599,variety Chelois,0.0
600,variety Chenin Blanc,0.0013353701853035102
601,variety Chenin Blanc-Chardonnay,1.3110419962973146e-05
602,variety Chenin Blanc-Sauvignon Blanc,0.0
603,variety Chenin Blanc-Viognier,0.0
604,variety Chinuri,0.0
605,variety Ciliegiolo,0.0
606,variety Cinsault,0.0
607,variety Clairette,0.0
608,variety Claret,6.5835545661751e-05
609,variety Cococciola,0.0
610,variety Coda di Volpe,0.0
611,variety Colombard,0.0
612,variety Colombard-Sauvignon Blanc,0.0
613,variety Colombard-Ugni Blanc,0.0
614,variety Colorino,0.0
615,variety Cortese,8.578110179820895e-05
616,variety Corvina,4.8635359203404865e-05
617,"variety Corvina, Rondinella, Molinara",0.00025379893118931247
618,variety Counoise,0.0
619,variety Códega do Larinho,0.0
620,variety Dafni,0.0
621,variety Debit,0.00013622583397370356
622,variety Diamond,0.0
623,variety Dolcetto,0.0002491016442531123
624,variety Dornfelder,7.887581179904257e-05
625,variety Doña Blanca,0.0
626,variety Duras,4.048218093423284e-05
627,variety Durella,0.00013940290044843072
628,variety Durif,0.0
629,variety Edelzwicker,0.0
630,variety Elbling,0.0
631,variety Emir,0.0
632,variety Encruzado,0.00019725625847328605
633,variety Erbaluce,0.0
634,variety Falanghina,0.0
635,variety Favorita,6.0095856608794246e-05
636,variety Fer Servadou,0.0
637,variety Fernão Pires,2.913946593575474e-05
638,variety Feteasca,0.0
639,variety Feteasca Neagra,0.0
640,variety Feteascǎ Regalǎ,0.0
641,variety Fiano,6.867155087551376e-05
642,variety Folle Blanche,0.0
643,variety Forcallà,0.0
644,variety Francisa,0.0
645,variety Franconia,0.0
646,variety Frankovka,0.0
647,variety Frappato,0.00010159095223638838
648,variety Freisa,0.0
649,variety Friulano,2.3394583457423746e-05
650,variety Früburgunder,0.0
651,variety Fumé Blanc,5.6698532839789433e-05
652,variety Furmint,0.00022801346908536924
653,variety G-S-M,0.0002354240882948493
654,variety Gaglioppo,0.0
655,variety Gamay,0.0009095812210033701
656,variety Gamay Noir,0.0
657,variety Gamza,0.0
658,variety Garganega,0.00011151604104488533
659,variety Garnacha,0.0004928027021449514
660,variety Garnacha Blanca,0.0
661,variety Garnacha Blend,0.0
662,variety Garnacha Tintorera,0.0
663,variety Garnacha-Cabernet,0.0
664,variety Garnacha-Cariñena,0.0
665,variety Garnacha-Monastrell,0.0
666,variety Garnacha-Syrah,0.0
667,variety Garnacha-Tempranillo,0.0
668,variety Gelber Muskateller,0.00020540067182306837
669,variety Gelber Traminer,0.0
670,variety Gewürztraminer,0.0017355999366182892
671,variety Gewürztraminer-Riesling,0.0
672,variety Glera,0.00029360262931424136
673,variety Godello,0.00017587137015649744
674,variety Gouveio,4.993720278508545e-05
675,variety Graciano,0.00017430505621557495
676,variety Gragnano,0.0
677,variety Grauburgunder,3.129992531708039e-05
678,variety Graševina,0.0
679,variety Grecanico,0.0
680,variety Grechetto,0.0
681,variety Greco,0.00025840924496126636
682,variety Greco Bianco,0.0
683,variety Grenache,0.0003200014081836687
684,variety Grenache Blanc,0.0
685,variety Grenache Blend,0.0
686,variety Grenache Gris,0.0
687,variety Grenache Noir,0.0
688,variety Grenache-Carignan,3.745600212209515e-05
689,variety Grenache-Mourvèdre,0.0
690,variety Grenache-Shiraz,0.0
691,variety Grenache-Syrah,4.009829992818946e-05
692,variety Grignolino,0.0
693,variety Grillo,4.03115894517325e-05
694,variety Grolleau,0.0
695,variety Groppello,0.0
696,variety Gros Manseng,0.00022618393371185024
697,variety Gros Plant,0.0
698,variety Gros and Petit Manseng,0.00022805509252161562
699,variety Grüner Veltliner,0.0011061685771796843
700,variety Hondarrabi Zuri,0.0
701,variety Hárslevelü,0.0
702,variety Incrocio Manzoni,0.0
703,variety Insolia,0.0
704,variety Inzolia,0.0
705,variety Irsai Oliver,0.0
706,variety Jacquez,0.0
707,variety Jacquère,0.0
708,variety Jaen,0.00012878494751692465
709,variety Jampal,4.3172310782179816e-05
710,variety Johannisberg Riesling,0.0
711,variety Kadarka,0.0
712,variety Kalecik Karasi,0.0
713,variety Kangoun,0.0
714,variety Karalahna,0.0
715,variety Karasakiz,0.0
716,variety Kekfrankos,0.0
717,variety Kerner,0.0001678488972467478
718,variety Kinali Yapincak,0.0
719,variety Kisi,0.0
720,variety Kotsifali,8.510473499388406e-05
721,variety Kuntra,0.0
722,variety Lagrein,6.386216756134141e-05
723,variety Lambrusco,2.0600860263439578e-05
724,variety Lambrusco Grasparossa,6.275419128560684e-05
725,variety Lambrusco Salamino,0.00011879329096739373
726,variety Lambrusco di Sorbara,0.000652938401688579
727,variety Lemberger,6.953579652602048e-05
728,variety Listán Negro,0.0
729,variety Loin de l'Oeil,0.0
730,variety Loureiro,0.00010656413608818448
731,variety Loureiro-Arinto,0.0
732,variety Macabeo,0.0
733,variety Macabeo-Chardonnay,0.0
734,variety Macabeo-Moscatel,0.0
735,variety Madeira Blend,0.0
736,variety Madeleine Angevine,0.0
737,variety Magliocco,5.860772269120479e-05
738,variety Malagousia,0.0
739,variety Malagouzia,0.0
740,variety Malagouzia-Chardonnay,0.0
741,variety Malbec,0.0009697474257040478
742,variety Malbec Blend,7.180827389050479e-05
743,variety Malbec-Bonarda,0.0
744,variety Malbec-Cabernet,0.0
745,variety Malbec-Cabernet Franc,0.0
746,variety Malbec-Cabernet Sauvignon,0.00016111167670702662
747,variety Malbec-Carménère,0.0
748,variety Malbec-Merlot,0.00010583166090734953
749,variety Malbec-Petit Verdot,0.0
750,variety Malbec-Syrah,4.5616554397586315e-05
751,variety Malbec-Tannat,0.0
752,variety Malbec-Tempranillo,0.0
753,variety Malvar,0.0
754,variety Malvasia,5.017664691302865e-05
755,variety Malvasia Bianca,0.00021099378410999116
756,variety Malvasia Fina,0.0
757,variety Malvasia Istriana,0.0
758,variety Malvasia Nera,0.0001122523594417681
759,variety Malvasia di Candia,0.0
760,variety Malvasia-Viura,0.0
761,variety Mandilaria,0.0
762,variety Mansois,0.0
763,variety Mantonico,0.0
764,variety Manzoni,0.0
765,variety Marawi,0.0
766,variety Maria Gomes,0.0
767,variety Maria Gomes-Bical,0.0
768,variety Marquette,0.0
769,variety Marsanne,0.00022094184428610657
770,variety Marsanne-Roussanne,0.0
771,variety Marsanne-Viognier,0.0
772,variety Marselan,0.0
773,variety Marzemino,6.956751452722906e-05
774,variety Mataro,6.931033352312486e-05
775,variety Maturana,0.0001298856029891417
776,variety Mauzac,0.00020355269607990077
777,variety Mavrodaphne,0.0
778,variety Mavrokalavryta,0.0
779,variety Mavrotragano,0.0
780,variety Mavroudi,0.0
781,variety Mavrud,1.0623004956099997e-05
782,variety Mazuelo,9.210029312282122e-05
783,variety Melon,0.002411302499605405
784,variety Mencía,9.984750640338148e-05
785,variety Meritage,0.0010151232034614828
786,variety Merlot,0.003033477261808384
787,variety Merlot-Argaman,0.0
788,variety Merlot-Cabernet,0.0
789,variety Merlot-Cabernet Franc,0.0
790,variety Merlot-Cabernet Sauvignon,0.00016416916187264545
791,variety Merlot-Grenache,0.0
792,variety Merlot-Malbec,4.6106831899613895e-05
793,variety Merlot-Petite Verdot,0.0
794,variety Merlot-Shiraz,0.0
795,variety Merlot-Syrah,0.0
796,variety Merlot-Tannat,1.4027003568024963e-05
797,variety Merseguera-Sauvignon Blanc,0.0
798,variety Meseguera,0.0
